,Entity,code,date,popDensity,gdp,gapPop,urbanPop,ruralPop,urbanPct,ruralPct,lifeExpectancy,medianAge,globalCode,globalName,regionCode,regionName,subRegionCode,subRegionName,interRegionCode,interRegionName,country,m49,ldc,lldc,sids,development,countryWom,totalCases,totalDeaths,totalRecovered,activeCases,criticalCases,casesMPop,deathsMPop,totalTests,testsMPop,calcPop,pdi,idv,mas,uai,ltowvs,ivr
681,Kyrgyzstan,KGZ,2015,31.0578727841502,3237.60293714448,5865401.0,2131200,3825700,35.777,64.223,70.6512195121951,25.299999,1,World,142,Asia,143,Central Asia,,,Kyrgyzstan,417,,1.0,,Developing,Kyrgyzstan,449,5.0,78.0,366,5.0,69.0,0.8,26147.0,4008.0,6507246,,,,,66.0,39.0
693,Latvia,LVA,2015,31.803264715342603,23018.8161056707,1992663.0,1344323,633204,67.98,32.02,74.4804878048781,42.5,1,World,150,Europe,154,Northern Europe,,,Latvia,428,,,,Developed,Latvia,666,5.0,44.0,617,3.0,353.0,3.0,29896.0,15850.0,1886686,44.0,70.0,9.0,63.0,69.0,13.0
705,Lithuania,LTU,2015,46.3702391214124,27045.713019289,2931926.0,1952971,951939,67.23,32.77,74.3219512195122,42.700001,1,World,150,Europe,154,Northern Europe,,,Lithuania,440,,,,Developed,Lithuania,1091,30.0,138.0,923,14.0,401.0,11.0,44677.0,16412.0,2720698,42.0,60.0,19.0,65.0,82.0,16.0
717,Luxembourg,LUX,2015,219.924324324324,94088.5922250508,566741.0,513663,55941,90.179,9.8210001,82.2926829268293,39.299999,1,World,150,Europe,155,Western Europe,,,Luxembourg,442,,,,Developed,Luxembourg,3373,69.0,526.0,2778,33.0,5388.0,110.0,30723.0,49080.0,626021,40.0,60.0,50.0,70.0,64.0,56.0
729,Macedonia,MKD,2015,82.4467882632831,12759.8166020197,2079308.0,1193689,885619,57.408,42.591999,75.54899999999999,37.400002,1,World,150,Europe,39,Southern Europe,,,Macedonia,807,,1.0,,Developed,Macedonia,974,45.0,98.0,831,15.0,468.0,22.0,9262.0,4446.0,2081197,,,,,62.0,35.0
741,Malawi,MWI,2015,186.398037759864,1088.70180507011,17573607.0,2866783,14706824,16.313,83.686996,62.661,17.4,1,World,2,Africa,202,Sub-Saharan Africa,14.0,Eastern Africa,Malawi,454,1.0,1.0,,Developing,Malawi,16,2.0,,14,1.0,0.8,0.1,343.0,18.0,20000000,70.0,30.0,40.0,50.0,,
753,Malaysia,MYS,2015,93.51135291432051,25001.6126731494,30723155.0,22800575,7922580,74.21300000000001,25.787001,75.143,27.700001,1,World,142,Asia,35,South-eastern Asia,,,Malaysia,458,,,,Developing,Malaysia,5072,83.0,2647.0,2342,56.0,157.0,3.0,87183.0,2694.0,32305732,104.0,26.0,50.0,36.0,41.0,57.0
765,Mali,MLI,2015,14.315725419811699,1919.2284214274,17467905.0,6985590,10482315,39.991,60.008998999999996,57.478,16.0,1,World,2,Africa,202,Sub-Saharan Africa,11.0,Western Africa,Mali,466,1.0,1.0,,Developing,Mali,148,13.0,34.0,101,,7.0,0.6,,,21142857,,,,,20.0,43.0
777,Malta,MLT,2015,1390.790625,34087.0815138045,427616.0,420192,24861,94.414,5.586,81.7975609756098,40.900002,1,World,150,Europe,39,Southern Europe,,,Malta,470,,,,Developed,Malta,399,3.0,44.0,352,4.0,904.0,7.0,20139.0,45611.0,441372,56.0,59.0,47.0,96.0,47.0,66.0
789,Mexico,MEX,2015,64.7603842691427,16938.6054057995,125890949.0,99812639,26078310,79.285,20.715,76.933,27.5,1,World,19,Americas,419,Latin America and the Caribbean,13.0,Central America,Mexico,484,,,,Developing,Mexico,5847,449.0,2125.0,3273,207.0,45.0,3.0,40091.0,311.0,129933333,81.0,30.0,69.0,82.0,24.0,97.0
801,Moldova,MDA,2015,123.806319016268,4746.7849111142295,4065980.0,1510140,2043968,42.49,57.509997999999996,71.468,35.599998,1,World,150,Europe,151,Eastern Europe,,,Moldova,498,,,,Developed,Moldova,2049,46.0,171.0,1832,80.0,508.0,11.0,6271.0,1555.0,4033465,,,,,71.0,19.0
813,Montenegro,MNE,2015,46.25717472118961,15289.7211914952,628178.0,409418,212741,65.806,34.194,76.938,37.700001,1,World,150,Europe,39,Southern Europe,,,Montenegro,499,,,,Developed,Montenegro,288,4.0,55.0,229,7.0,459.0,6.0,3874.0,6168.0,627451,,,,,75.0,20.0
825,Morocco,MAR,2015,77.98190006721941,7296.9344014319095,34803322.0,21163552,13639770,60.809,39.191002000000005,75.57300000000001,27.9,1,World,2,Africa,15,Northern Africa,,,Morocco,504,,,,Developing,Morocco,2024,127.0,229.0,1668,1.0,55.0,3.0,10392.0,282.0,36800000,70.0,46.0,53.0,68.0,14.0,25.0
837,Mozambique,MOZ,2015,35.6197906864366,1118.2228441719801,28010691.0,9635678,18375013,34.4,65.599998,57.714,17.200001,1,World,2,Africa,202,Sub-Saharan Africa,14.0,Eastern Africa,Mozambique,508,1.0,,,Developing,Mozambique,29,,2.0,27,,0.9,,793.0,25.0,32222222,85.0,15.0,38.0,44.0,11.0,80.0
849,Namibia,NAM,2015,2.94618056820804,9975.12546960707,2425561.0,1137588,1287973,46.9,53.099998,63.782,21.0,1,World,2,Africa,202,Sub-Saharan Africa,18.0,Southern Africa,Namibia,516,,,,Developing,Namibia,16,,3.0,13,,6.0,,362.0,142.0,2666667,65.0,30.0,40.0,45.0,35.0,
861,Nepal,NPL,2015,199.90430415068002,2314.27488100624,28656282.0,5317746,23338536,18.557000000000002,81.443001,69.887,23.200001,1,World,142,Asia,34,Southern Asia,,,Nepal,524,1.0,1.0,,Developing,Nepal,16,,1.0,15,,0.5,,15800.0,542.0,32000000,65.0,30.0,40.0,40.0,,
873,Netherlands,NLD,2015,502.81754229741796,46494.3642578078,16938499.0,15275237,1664686,90.17299999999999,9.826999699999998,81.509756097561,42.099998,1,World,150,Europe,155,Western Europe,,,Netherlands,528,,,,Developed,Netherlands,28153,3134.0,250.0,24769,1279.0,1643.0,183.0,140845.0,8220.0,17135119,38.0,80.0,14.0,53.0,67.0,68.0
885,New Zealand,NZL,2015,17.4535718354791,35309.8237244851,4614532.0,3967973,627727,86.34100000000001,13.659,81.45682926829271,37.299999,1,World,9,Oceania,53,Australia and New Zealand,,,New Zealand,554,,,,Developed,New Zealand,1401,9.0,770.0,622,3.0,291.0,2.0,70160.0,14549.0,4814433,22.0,79.0,58.0,49.0,33.0,75.0
897,Nigeria,NGA,2015,198.932490090802,5670.63944311027,181181744.0,86673723,94508021,47.838,52.161999,52.985,17.9,1,World,2,Africa,202,Sub-Saharan Africa,11.0,Western Africa,Nigeria,566,,,,Developing,Nigeria,407,12.0,128.0,267,2.0,2.0,0.06,5000.0,24.0,203500000,80.0,30.0,60.0,55.0,13.0,84.0
909,Norway,NOR,2015,14.210294459883098,64008.2868303461,5199836.0,4208817,981422,81.09100000000001,18.909000000000002,82.3048780487805,39.200001,1,World,150,Europe,154,Northern Europe,,,Norway,578,,,,Developed,Norway,6798,150.0,32.0,6616,64.0,1254.0,28.0,130216.0,24020.0,5421053,31.0,69.0,8.0,50.0,35.0,55.0
921,Pakistan,PAK,2015,245.667954804898,4695.69987892337,189380513.0,68226224,121154289,36.025999999999996,63.973999,66.322,22.5,1,World,142,Asia,34,Southern Asia,,,Pakistan,586,,,,Developing,Pakistan,6383,111.0,1446.0,4826,46.0,29.0,0.5,73439.0,332.0,220103448,55.0,14.0,50.0,70.0,50.0,0.0
933,Panama,PAN,2015,53.3931799838579,20786.6596878595,3969249.0,2647330,1321919,66.696,33.304001,77.806,28.4,1,World,19,Americas,419,Latin America and the Caribbean,13.0,Central America,Panama,381,,,,Developing,Panama,3751,103.0,75.0,3573,106.0,869.0,24.0,16854.0,3906.0,4316456,95.0,11.0,44.0,86.0,,
945,Peru,PER,2015,24.51302421875,11770.034448234499,31376671.0,24272051,7104620,77.357,22.643,74.747,27.5,1,World,19,Americas,419,Latin America and the Caribbean,5.0,South America,Peru,604,,,,Developing,Peru,11475,254.0,3108.0,8113,146.0,348.0,8.0,109385.0,3318.0,32974138,64.0,16.0,42.0,87.0,25.0,46.0
957,Philippines,PHL,2015,341.13545628332804,6874.58256551739,101716359.0,47078400,54637959,46.284,53.716,68.95100000000001,24.1,1,World,142,Asia,35,South-eastern Asia,,,Philippines,608,,,,Developing,Philippines,5453,349.0,353.0,4751,1.0,50.0,3.0,45486.0,415.0,109060000,94.0,32.0,64.0,44.0,27.0,42.0
969,Poland,POL,2015,124.061569613639,25299.9743484897,38265226.0,22897449,15088963,60.278,39.722,77.4512195121951,39.700001,1,World,150,Europe,151,Eastern Europe,,,Poland,616,,,,Developed,Poland,7582,286.0,668.0,6628,160.0,200.0,8.0,156493.0,4135.0,37910000,68.0,60.0,64.0,93.0,38.0,29.0
981,Portugal,PRT,2015,113.072025849835,26607.8331233896,10418473.0,6578828,3779248,63.513999999999996,36.486,81.1243902439025,43.900002,1,World,150,Europe,39,Southern Europe,,,Portugal,620,,,,Developed,Portugal,18091,599.0,383.0,17109,208.0,1774.0,59.0,208314.0,20430.0,10197858,63.0,27.0,31.0,104.0,28.0,33.0
993,Qatar,QAT,2015,213.741515934539,119749.42853615199,2481539.0,2455359,26180,98.945,1.0549998999999999,78.036,31.299999,1,World,142,Asia,145,Western Asia,,,Qatar,634,,,,Developing,Qatar,3711,7.0,406.0,3298,37.0,1288.0,2.0,54484.0,18911.0,2881211,93.0,25.0,55.0,80.0,,
1005,Romania,ROU,2015,86.1243089360223,20556.003642336298,19876621.0,10677968,9137513,53.887,46.112999,75.0121951219512,41.299999,1,World,150,Europe,151,Eastern Europe,,,Romania,642,,,,Developed,Romania,7216,372.0,1217.0,5627,245.0,375.0,19.0,74827.0,3890.0,19242667,90.0,30.0,42.0,90.0,52.0,20.0
1017,Russia,RUS,2015,8.79880404497318,24516.5499502712,143888004.0,106703732,37393138,74.05,25.950001,71.1682926829268,38.700001,1,World,150,Europe,151,Eastern Europe,,,Russia,643,,,,Developed,Russia,24490,198.0,1986.0,22306,8.0,168.0,1.0,1517992.0,10402.0,145773810,93.0,39.0,36.0,95.0,81.0,20.0
1029,Rwanda,RWA,2015,471.404661532225,1731.04342267746,11629553.0,1977489,9652064,17.004,82.996002,66.696,19.4,1,World,2,Africa,202,Sub-Saharan Africa,14.0,Eastern Africa,Rwanda,646,1.0,1.0,,Developing,Rwanda,136,,54.0,82,,11.0,,6237.0,482.0,12363636,,,,,18.0,37.0
1041,Saudi Arabia,SAU,2015,14.679858026041,50723.7126450691,31557144.0,26249232,5307912,83.18,16.82,74.4,29.799999,1,World,142,Asia,145,Western Asia,,,Saudi Arabia,682,,,,Developing,Saudi Arabia,5862,79.0,931.0,4852,71.0,168.0,2.0,150000.0,4309.0,34892857,95.0,25.0,60.0,80.0,36.0,52.0
1053,Senegal,SEN,2015,77.7904430478367,2293.85353926578,14976994.0,6868749,8108245,45.861999999999995,54.138000000000005,66.78399999999999,18.299999,1,World,2,Africa,202,Sub-Saharan Africa,11.0,Western Africa,Senegal,686,1.0,,,Developing,Senegal,314,2.0,190.0,122,1.0,19.0,0.1,,,16526316,70.0,25.0,45.0,55.0,25.0,
1057,Serbia,SRB,2015,81.12717813857759,13277.8001173574,8851280.0,3951845,3143538,55.696000000000005,44.304001,75.2878048780488,40.0,1,World,150,Europe,39,Southern Europe,,,Serbia,688,,,,Developed,Serbia,4873,99.0,400.0,4374,128.0,558.0,11.0,26278.0,3008.0,8732975,86.0,25.0,43.0,92.0,52.0,28.0
1069,Sierra Leone,SLE,2015,100.26357716819099,1314.2737277159,7237025.0,2954805,4282220,40.829,59.171001000000004,51.423,18.299999,1,World,2,Africa,202,Sub-Saharan Africa,11.0,Western Africa,Sierra Leone,694,1.0,,,Developing,Sierra Leone,13,,,13,,2.0,,,,6500000,70.0,20.0,40.0,50.0,,
1081,Singapore,SGP,2015,7806.77291960508,81741.096935529,5535262.0,5535002,0,100.0,0.0,82.74390243902441,40.0,1,World,142,Asia,35,South-eastern Asia,,,Singapore,702,,,1.0,Developing,Singapore,3699,10.0,652.0,3037,29.0,632.0,2.0,72680.0,12423.0,5852848,74.0,20.0,48.0,8.0,72.0,46.0
1093,Slovakia,SVK,2015,112.803148787488,28308.8797698535,5439318.0,2922832,2500969,53.888999999999996,46.111000000000004,76.5634146341463,39.200001,1,World,150,Europe,151,Eastern Europe,,,Slovakia,703,,,,Developed,Slovakia,863,6.0,151.0,706,5.0,158.0,1.0,31491.0,5768.0,5462025,104.0,52.0,110.0,51.0,77.0,28.0
1105,Slovenia,SVN,2015,102.45933465739799,29037.7416756681,2074788.0,1109788,953743,53.781000000000006,46.219002,80.7756097560976,43.0,1,World,150,Europe,39,Southern Europe,,,Slovenia,705,,,,Developed,Slovenia,1248,61.0,165.0,1022,34.0,600.0,29.0,37114.0,17852.0,2080000,71.0,27.0,19.0,88.0,49.0,48.0
1117,South Africa,ZAF,2015,45.5788317437288,12377.6592598329,55291225.0,35844195,19447030,64.828,35.172001,61.981,26.1,1,World,2,Africa,202,Sub-Saharan Africa,18.0,Southern Africa,South Africa,710,,,,Developing,South Africa,2506,34.0,410.0,2062,7.0,42.0,0.6,90515.0,1526.0,59666667,49.0,65.0,63.0,49.0,34.0,63.0
1129,South Korea,KOR,2015,523.337576938859,34177.6544703221,50593662.0,41645542,9369405,81.634,18.365999,82.0243902439024,40.799999,1,World,142,Asia,30,Eastern Asia,,,South Korea,410,,,,Developing,South Korea,10613,229.0,7757.0,2627,55.0,207.0,4.0,538775.0,10509.0,51270531,60.0,18.0,39.0,85.0,100.0,29.0
1141,Spain,ESP,2015,92.84621197279671,32291.1551993266,46397664.0,36971015,9473817,79.602,20.398001,82.8317073170732,43.200001,1,World,150,Europe,39,Southern Europe,,,Spain,724,,,,Developed,Spain,180659,18812.0,70853.0,90994,7371.0,3864.0,402.0,650755.0,13918.0,46754400,57.0,51.0,42.0,86.0,48.0,44.0
1153,Sri Lanka,LKA,2015,334.332642321799,11079.710677356,20714040.0,3827553,17138447,18.256,81.744003,75.08800000000001,32.299999,1,World,142,Asia,34,Southern Asia,,,Sri Lanka,144,,,,Developing,Sri Lanka,238,7.0,63.0,168,1.0,11.0,0.3,4768.0,223.0,21636364,80.0,35.0,10.0,45.0,45.0,
1165,Suriname,SUR,2015,3.54620512820513,14766.799179583899,553208.0,365427,187781,66.056,33.944,71.279,28.4,1,World,19,Americas,419,Latin America and the Caribbean,5.0,South America,Suriname,740,,,1.0,Developing,Suriname,10,1.0,6.0,3,,17.0,2.0,,,588235,85.0,47.0,37.0,92.0,,
1177,Sweden,SWE,2015,24.058299575262104,45679.2779973863,9763565.0,8481489,1317697,86.553,13.447000000000001,82.2048780487805,40.900002,1,World,150,Europe,154,Northern Europe,,,Sweden,752,,,,Developed,Sweden,11927,1203.0,381.0,10343,954.0,1181.0,119.0,74600.0,7387.0,10099069,31.0,71.0,5.0,29.0,53.0,78.0
1189,Switzerland,CHE,2015,209.596011742079,57264.15739706349,8319769.0,6105617,2176779,73.718,26.281999999999996,82.89756097560979,42.200001,1,World,150,Europe,155,Western Europe,,,Switzerland,756,,,,Developed,Switzerland,26336,1239.0,15400.0,9697,386.0,3043.0,143.0,199000.0,22993.0,8654617,34.0,68.0,70.0,58.0,74.0,66.0
1201,Tanzania,TZA,2015,60.8263230977647,2490.9571005653797,53879957.0,17035226,36844731,31.616999999999997,68.383003,64.95,17.299999,1,World,9,Oceania,57,Micronesia,,,Tanzania,834,1.0,,,Developing,Tanzania,88,4.0,11.0,73,,1.0,0.07,,,88000000,70.0,25.0,40.0,5.0,34.0,38.0
1213,Thailand,THA,2015,134.388224471021,15252.228253058101,68657600.0,32745556,35912044,47.693999999999996,52.306000000000004,75.10300000000001,37.799999,1,World,142,Asia,35,South-eastern Asia,,,Thailand,764,,,,Developing,Thailand,2643,43.0,1497.0,1103,61.0,38.0,0.6,100498.0,1440.0,69552632,64.0,20.0,34.0,64.0,32.0,45.0
1225,Trinidad and Tobago,TTO,2015,265.12514619883,31524.588622109903,1360092.0,725187,634905,53.318999999999996,46.681000000000004,70.556,33.900002,1,World,19,Americas,419,Latin America and the Caribbean,29.0,Caribbean,Trinidad and Tobago,780,,,1.0,Developing,Trinidad and Tobago,114,8.0,20.0,86,,81.0,6.0,1282.0,916.0,1407407,47.0,16.0,58.0,55.0,13.0,80.0
1237,Turkey,TUR,2015,101.700131231891,23388.4813019367,78271472.0,57616413,20655059,73.611,26.389,75.498,29.9,1,World,142,Asia,145,Western Asia,,,Turkey,792,,,,Developing,Turkey,69392,1518.0,5674.0,62200,1820.0,823.0,18.0,477716.0,5664.0,84315917,66.0,37.0,45.0,85.0,46.0,49.0
1249,Uganda,UGA,2015,200.20382006782398,1665.9499053310199,40144870.0,8855958,31288912,22.06,77.940002,59.575,15.8,1,World,2,Africa,202,Sub-Saharan Africa,14.0,Eastern Africa,Uganda,826,1.0,1.0,,Developing,Uganda,55,,12.0,43,,1.0,,7693.0,168.0,55000000,,,,,24.0,52.0
1261,Ukraine,UKR,2015,77.9477304820072,7464.939833592941,44657704.0,31183824,13970205,69.061,30.938999,71.189512195122,40.299999,1,World,150,Europe,151,Eastern Europe,,,Ukraine,784,,,,Developed,Ukraine,3764,108.0,143.0,3513,45.0,86.0,2.0,39084.0,894.0,43767442,92.0,25.0,27.0,95.0,86.0,14.0
1273,United Arab Emirates,ARE,2015,109.50122009569401,66569.4034144417,9154302.0,7842857,1311445,85.67399999999999,14.325999999999999,77.101,33.400002,1,World,142,Asia,145,Western Asia,,,UAE,800,,,,Developing,UAE,5365,33.0,1034.0,4298,1.0,542.0,3.0,767000.0,77550.0,9898524,90.0,25.0,50.0,80.0,,
1285,United Kingdom,GBR,2015,269.205394122267,38839.1669568199,65397080.0,53813373,11315488,82.626,17.374001,80.95609756097559,40.200001,1,World,150,Europe,154,Northern Europe,,,UK,804,,,,Developed,UK,98476,12868.0,,85264,1559.0,1451.0,190.0,398916.0,5876.0,67867677,35.0,89.0,66.0,35.0,51.0,69.0
1297,United States,USA,2015,35.0962171847362,53005.6361464627,319929162.0,262196447,58843392,81.671,18.329,78.69024390243901,37.599998,1,World,19,Americas,21,Northern America,,,USA,840,,,,Developed,USA,644089,28529.0,48708.0,566852,13487.0,1946.0,86.0,3258879.0,9845.0,330980987,40.0,91.0,62.0,46.0,26.0,68.0
1309,Uruguay,URY,2015,19.606627813964103,19831.4458985188,3431552.0,3261519,170033,95.045,4.954999900000001,77.34100000000001,34.900002,1,World,19,Americas,419,Latin America and the Caribbean,5.0,South America,Uruguay,858,,,,Developing,Uruguay,493,9.0,272.0,212,13.0,142.0,3.0,10448.0,3008.0,3471831,61.0,36.0,38.0,100.0,26.0,53.0
1321,Venezuela,VEN,2015,35.3212788390681,,31155134.0,27464497,3690637,88.154,11.845999999999998,74.367,27.4,1,World,19,Americas,419,Latin America and the Caribbean,5.0,South America,Venezuela,862,,,,Developing,Venezuela,197,9.0,111.0,77,6.0,7.0,0.3,225009.0,7913.0,28142857,81.0,12.0,73.0,76.0,16.0,100.0
1333,Vietnam,VNM,2015,301.775621633825,5554.85805564661,93571567.0,31635611,61935956,33.809,66.191002,76.05199999999999,30.4,1,World,142,Asia,35,South-eastern Asia,,,Vietnam,704,,,,Developing,Vietnam,268,,171.0,97,8.0,3.0,,135938.0,1397.0,89333333,70.0,20.0,40.0,30.0,57.0,35.0
1345,Zambia,ZMB,2015,21.658331427649003,3627.2020409377205,16100587.0,6747273,9353314,41.907,58.092999,61.397,17.1,1,World,2,Africa,202,Sub-Saharan Africa,14.0,Eastern Africa,Zambia,894,1.0,1.0,,Developing,Zambia,48,2.0,30.0,16,1.0,3.0,0.1,1696.0,92.0,16000000,60.0,35.0,40.0,50.0,30.0,42.0
1357,Zimbabwe,ZWE,2015,40.7844151479902,1912.2802605400602,15777451.0,5109528,10667923,32.385,67.614998,60.398,19.0,1,World,2,Africa,202,Sub-Saharan Africa,14.0,Eastern Africa,Zimbabwe,716,,1.0,,Developing,Zimbabwe,23,3.0,1.0,19,,2.0,0.2,716.0,48.0,11500000,,,,,15.0,28.0
